keeling.offset.d15Na,keeling.slope.d15Na,keeling.R2.d15Na,keeling.offset.d15Nb,keeling.slope.d15Nb,keeling.R2.d15Nb,keeling.offset.d18O,keeling.slope.d18O,keeling.R2.d18O
101.410664482421,-26951.2946752668,0.0284916598998761,-116.056213212312,36228.5552898649,0.0838149723995996,-256.825518023802,88338.1070682045,0.0167334657629395
-13.6196941684767,10118.2930473595,0.00992239165734955,-135.913124417417,43379.3744332176,0.213097005651397,-1242.36450752116,426322.697190963,0.55408470455749
-444.684576922193,151846.804110896,0.366425842827457,-462.358184171467,146825.121001606,0.56733015442251,9732.29490428884,-3166442.03784655,0.946672668357724
137.389691936968,-36358.2321535731,0.0404878378398408,-319.900184208016,99983.8288807412,0.394538659242469,-573.270509114468,205577.080204001,0.117381589685132
114.154745735511,-34756.7640496082,0.0634428430004093,-143.679392322282,43259.3253585466,0.149127187151024,2909.34590162659,-943919.891407636,0.797744744409006
-135.767561794117,49442.6896163732,0.388152326302339,-116.404539695079,37642.3231534171,0.409592417714789,687.936479740819,-218877.746121374,0.582587792587653
-246.933218863774,86211.6856964055,0.531490988404874,-221.096152552909,73633.4938399928,0.778721937313742,-342.309473697946,127074.279090987,0.294192841080435
-189.433004580298,67518.230996781,0.233678220958472,-13.2839165347894,-1182.16680063242,0.000192127363542955,-444.719168875971,112848.403728804,0.0203985551528764
-144.667440076784,50803.4544626229,0.237314797818434,106.393305653791,-34800.5014102767,0.320926236432769,1192.94060954374,-368895.912443834,0.678423826984267
-347.500615223878,117481.192356882,0.502924182675118,96.001898215708,-32088.7217624908,0.106320853412417,950.207451954119,-287236.428377617,0.421904981635876
-127.621558736427,48689.7029648993,0.210242711134981,64.4109322279575,-23258.0263824019,0.0572441850708177,-93.3878696839648,39139.5448596896,0.0292143076764026
-229.052656180744,80005.4361432884,0.351613572877321,-51.9938733096142,14194.4236128863,0.0442343494302086,172.86177045886,-50047.902485272,0.0376207276953984
-202.194930927701,73083.8390566803,0.32150705057943,-188.734303114142,59916.515597689,0.437874165605124,-95.5596148275978,36436.5651084535,0.0208070537063626
-34.4564194503017,13501.6970517565,0.0738819682293247,35.7574123825914,-13566.1709694084,0.170330175501314,357.817827017736,-124480.17256894,0.248953423481667
289.382743545702,-92208.5333954751,0.688511865379615,93.3603947193595,-31845.584594448,0.237268372500056,-7200.76281474575,2383092.45569492,0.986705958133051
